,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
420,Malat1,20539.00225,-0.683794869,0.183317639,-3.730109512,0.000191397,0.001057369
421,Tnip1,20533.64821,-0.150197157,0.165510618,-0.907477473,0.364154357,0.575876143
422,Ifi207,20527.5023,-1.258339958,0.34842512,-3.611507572,0.000304422,0.001610925
423,Psme2,20485.68285,0.393847437,0.090214101,4.365697095,1.27E-05,8.71E-05
424,Lgals1,20458.97322,-0.235120629,0.050599297,-4.646717254,3.37E-06,2.55E-05
425,Txn1,20442.91264,0.325739343,0.162010619,2.010604886,0.044367208,0.121254554
426,Sp100,20440.49766,-0.765665447,0.152610944,-5.017107066,5.25E-07,4.48E-06
427,Nadk,20432.43069,-0.514469839,0.186711312,-2.755429407,0.005861515,0.022127049
428,Shisa5,20371.07803,-0.447362416,0.2169802,-2.06176608,0.039230012,0.109794297
429,Ptges,20330.98468,1.039675223,0.076233074,13.63811224,2.38E-42,1.50E-40
430,Rps6,20330.4251,0.294670779,0.053690355,5.488337318,4.06E-08,4.01E-07
431,Mtpn,20307.38379,0.310877718,0.038045616,8.171183723,3.05E-16,6.14E-15
432,Rgl1,20219.8383,-0.191046276,0.077498115,-2.465173212,0.013694703,0.045670953
433,Tkt,20148.00651,0.191955432,0.040719892,4.714045701,2.43E-06,1.88E-05
434,Eif3a,20056.47042,0.100856784,0.070116316,1.438421038,0.150314627,0.314012661
435,D17Wsu92e,19989.15402,-0.022492354,0.087278295,-0.257708445,0.796631928,0.900778337
436,Ap2m1,19983.13719,-0.294356977,0.052762582,-5.578896386,2.42E-08,2.45E-07
437,Macf1,19982.44191,-0.05186829,0.068280221,-0.759638574,0.447470655,0.656229477
438,Ptafr,19973.67839,0.514602624,0.040762206,12.62450383,1.55E-36,8.14E-35
439,Rps2,19928.61183,0.340324773,0.068982452,4.933497802,8.08E-07,6.69E-06
440,Chd4,19897.30999,-0.049188991,0.047024416,-1.046030866,0.295546782,0.503961788
441,Flii,19867.64846,-0.415864923,0.035462832,-11.7267827,9.29E-32,4.11E-30
442,Tuba1c,19832.50111,-0.258330359,0.107646458,-2.399803605,0.01640387,0.053127973
443,Sh3bp2,19830.08512,-0.380180427,0.063462543,-5.990627026,2.09E-09,2.40E-08
444,Cd72,19799.75617,-1.493888229,0.082042747,-18.20865692,4.41E-74,6.20E-72
445,Sbno2,19760.6435,-0.310091216,0.077480185,-4.002200241,6.28E-05,0.000381565
446,Polr2a,19755.28285,-0.424859801,0.208882529,-2.033965227,0.041955102,0.115984034
447,Zmiz2,19754.11436,0.095745026,0.139104155,0.688297383,0.49126553,0.692493984
448,Herc6,19732.38545,0.128578411,0.044630014,2.880985239,0.003964342,0.015706977
449,Rpl6,19721.8653,0.34368415,0.046679264,7.362672788,1.80E-13,2.95E-12
450,Soat1,19707.98584,0.284838453,0.053149404,5.35920312,8.36E-08,7.96E-07
451,Rpl8,19655.04643,0.391402909,0.169184447,2.313468622,0.020696888,0.064649903
452,Mfsd1,19618.98016,0.078181587,0.113565867,0.688425044,0.491185157,0.692435622
453,H3f3b,19598.29472,-0.329922315,0.072163154,-4.571894336,4.83E-06,3.58E-05
454,Ctsh,19570.73615,0.207529488,0.04446952,4.666780537,3.06E-06,2.34E-05
455,H2-Q6,19566.92952,0.46571177,0.073481482,6.337811325,2.33E-10,2.91E-09
456,mt-Nd6,19562.97489,-0.531125577,0.569621508,-0.932418403,0.351120338,0.565108838
457,Cbl,19553.89056,-0.270082777,0.056856843,-4.750224682,2.03E-06,1.59E-05
458,Psmd2,19528.08175,0.077452705,0.096244703,0.804747717,0.420965278,0.632164313
459,Clec12a,19481.93227,-1.006826039,0.060533462,-16.63255346,4.05E-62,4.32E-60
460,Atxn2l,19479.53758,-0.184363416,0.149811421,-1.230636589,0.218458814,0.410463384
461,Gna13,19339.27378,0.150144197,0.082830141,1.812675845,0.069881832,0.174533874
462,Atp1a1,19286.94541,-0.651218097,0.082956077,-7.850155376,4.16E-15,7.78E-14
463,H2-Q7,19210.42628,0.618340815,0.061270451,10.09199056,5.99E-24,1.85E-22
464,Oasl1,19170.03376,-0.379900781,0.056371177,-6.739273503,1.59E-11,2.23E-10
465,Tbc1d13,19149.02181,-0.467393443,0.047917381,-9.75415255,1.77E-22,5.03E-21
466,Prpf8,19124.89204,0.024552134,0.050536723,0.485827586,0.627089414,0.795803828
467,Ddx17,19116.98317,0.008998107,0.092771713,0.096991928,0.922732805,0.965566538
468,Camta2,19085.08474,0.119939689,0.100507058,1.193345933,0.23273392,0.428579878
469,Hnrnpu,19000.99642,-0.560670744,0.110193154,-5.088072391,3.62E-07,3.16E-06
470,Arhgap30,18996.13798,-0.468023958,0.06681353,-7.004927846,2.47E-12,3.71E-11
471,Klf6,18975.41227,-0.75839744,0.061071186,-12.41825293,2.08E-35,1.03E-33
472,Rpl5,18936.79469,0.489778049,0.116014159,4.221709244,2.42E-05,0.000158318
473,Rac1,18848.13738,-0.61939789,0.102840052,-6.022924701,1.71E-09,1.98E-08
