,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
9613,Actr6,275.1857948,-0.135352591,0.137403803,-0.98507165,0.324588878,0.536702189
9614,Zfp691,275.119865,-0.011070777,0.134516459,-0.082300536,0.934407729,0.970741318
9615,Mars2,274.9658963,0.215008245,0.119579605,1.79803442,0.072171553,0.178941238
9616,Ccdc112,274.6397546,0.129526618,0.147844156,0.876102388,0.380974375,0.592017295
9617,Ceacam16,273.9168133,0.631086792,0.214410096,2.943363232,0.003246672,0.013211114
9618,Kynu,273.8986026,2.221886515,0.155977847,14.24488518,4.82E-46,3.50E-44
9619,Gm36995,273.8816204,0.622822084,0.674568469,0.923289648,0.355856281,0.568935956
9620,AC122367.3,273.8090346,0.322046913,0.198232216,1.624594222,0.104249049,0.238252003
9621,Cdc45,273.5409221,-0.181980264,0.148433876,-1.226002238,0.220197833,0.412653203
9622,Dlgap5,273.5343224,-0.30031487,0.150786757,-1.991652816,0.046409164,0.125896442
9623,Gm12428,273.486847,-0.994636214,0.248548536,-4.001778608,6.29E-05,0.000382126
9624,Exog,273.4450738,0.076747299,0.156675364,0.489849182,0.624240625,0.793988055
9625,Tsen2,273.4027485,0.606671011,0.114923356,5.278918335,1.30E-07,1.20E-06
9626,Zfp971,273.3396355,0.137926311,0.15044437,0.916792773,0.35925124,0.571659125
9627,Tubd1,273.3301843,0.035626936,0.10956377,0.325170771,0.745051829,0.870550671
9628,Gm16712,273.1887254,-0.571129301,0.188413093,-3.031261207,0.002435345,0.010257807
9629,Ccdc189,273.1399409,0.126290702,0.191638795,0.659003843,0.509893301,0.707842697
9630,Kank3,272.6313846,0.005045285,0.184956312,0.027278252,0.978237803,0.990113456
9631,D930016D06Rik,272.4891907,0.037484972,0.117250305,0.319700425,0.749195437,0.873162381
9632,Etohd2,272.4635922,0.596288681,0.760621452,0.783949335,0.43306984,0.643476725
9633,Alyref2,272.3164392,0.031286167,0.124627664,0.251037098,0.801785427,0.903974678
9634,2210013O21Rik,272.0036216,0.095934264,0.213202323,0.449968194,0.652733374,0.812299714
9635,Pgk1-rs7,271.9351191,-0.024470153,0.227808207,-0.10741559,0.914459287,0.96269378
9636,Arl15,271.8400257,-0.097896214,0.209029505,-0.468336822,0.63954374,0.803503861
9637,Trip6,271.8277209,-0.225443096,0.138986376,-1.622051759,0.104792266,0.239240165
9638,Loxl1,271.5376738,-0.465020947,0.133198798,-3.491179753,0.000480893,0.002425187
9639,Adat2,271.5364223,0.571159618,0.129680648,4.404355043,1.06E-05,7.44E-05
9640,Fam216a,271.4711501,0.406641319,0.119282354,3.409065184,0.000651859,0.003184863
9641,Mmp3,271.4489847,1.301333902,0.106399422,12.23064819,2.13E-34,1.02E-32
9642,Sdhaf4,271.4181139,0.176499569,0.17867422,0.987828963,0.323236421,0.535310376
9643,Zfp41,271.4126499,0.835770331,0.318364121,2.625202641,0.008659741,0.030849832
9644,F630028O10Rik,271.3712939,-3.31986739,0.268269342,-12.37512779,3.56E-35,1.75E-33
9645,Rbm48,271.295611,0.115972009,0.146047287,0.794071637,0.427153728,0.637759459
9646,Zfp956,271.0790051,0.770255905,0.134128326,5.742678862,9.32E-09,9.91E-08
9647,Gar1,271.0289834,0.065769371,0.235203812,0.279627148,0.779763576,0.891226965
9648,Gm10076,270.5863064,-0.017328396,0.177734195,-0.097496131,0.922332406,0.965524025
9649,2610507I01Rik,270.4907358,-0.289494833,0.139306624,-2.078112473,0.037699001,0.10622872
9650,Elp6,270.4639886,0.131648288,0.238514949,0.551949842,0.580982719,0.763094679
9651,Hemk1,270.3952367,0.45595846,0.166356843,2.740845831,0.006128125,0.022988882
9652,Twnk,270.3753035,0.281480646,0.121656812,2.313726962,0.020682704,0.064615987
9653,Zfp953,268.6928196,0.161639889,0.148433421,1.088972336,0.276166085,0.482012451
9654,Akap7,268.6332884,0.085857649,0.127899036,0.671292382,0.502034287,0.701485297
9655,Pcbp4,268.6011986,-0.378979585,0.163240703,-2.321599815,0.020254494,0.063435982
9656,Cntnap1,268.3248519,0.938087771,0.177932661,5.27215051,1.35E-07,1.24E-06
9657,Zfp948,268.2883005,-0.393952337,0.182221323,-2.161944223,0.030622476,0.089629684
9658,Arl6,268.219994,0.09831521,0.137364261,0.71572627,0.474160387,0.679029832
9659,Sntb1,268.0405771,3.394532653,0.205872688,16.48850404,4.44E-61,4.61E-59
9660,Mtcp1,267.6688305,-0.362615208,0.115172673,-3.1484483,0.001641398,0.00727986
9661,Gm15446,267.241422,0.135160702,0.106943973,1.263845906,0.206285341,0.394496852
9662,Igf1r,267.2177754,-0.005472505,0.160280325,-0.034143337,0.97276285,0.987698261
9663,Jup,266.966542,-0.179881554,0.119337983,-1.507328587,0.131726454,0.284830598
9664,Gm42517,266.783568,1.132066384,0.131435193,8.613114646,7.11E-18,1.60E-16
9665,Gab3,266.3113389,-1.446900525,0.247008825,-5.857687584,4.69E-09,5.19E-08
9666,Fam175a,266.0653278,0.121825872,0.153655148,0.792852521,0.427863753,0.638399234
9667,AC121583.1,265.9542378,2.119255871,0.182250053,11.6282867,2.96E-31,1.27E-29
9668,Runx2,265.9228464,1.081177026,0.23607748,4.579755036,4.66E-06,3.46E-05
9669,Car2,265.5721268,-0.848071097,0.131776265,-6.435689298,1.23E-10,1.57E-09
9670,Pigp,265.3166503,0.345954928,0.173043674,1.999234759,0.045582959,0.12400148
9671,Dfna5,265.3069488,0.349255429,0.113677381,3.072338798,0.002123885,0.009085794
9672,Ak4,265.1988235,0.250511643,0.236413305,1.059634281,0.289311012,0.497313315
9673,Them4,265.1687355,0.158492919,0.134161648,1.181357872,0.237460586,0.434319682
9674,Pcgf6,265.0966892,1.031785014,0.149466146,6.903135202,5.09E-12,7.44E-11
9675,Cdkn2c,264.8059928,-0.193798199,0.130862136,-1.480934097,0.138624136,0.296380416
9676,Hspa2,264.6849793,-0.993712914,0.157330771,-6.31607477,2.68E-10,3.33E-09
9677,Nudt7,264.6462362,0.077709398,0.105857591,0.734093771,0.46289159,0.669898889
9678,Gm26792,264.6097137,0.46322071,0.13638356,3.396455615,0.000682646,0.00331693
9679,Apoo,264.607663,0.504931197,0.186072308,2.713628918,0.006655067,0.024694663
9680,Poli,264.4730112,0.281513533,0.182394537,1.543431828,0.122726036,0.270303399
9681,Gm37121,264.0554391,0.527220414,0.146662657,3.594782912,0.000324662,0.001704104
9682,Rpl10-ps1,263.9921459,0.357757192,0.201276567,1.777440846,0.075495735,0.18524443
9683,Nup37,263.5625946,0.072436021,0.165992393,0.436381567,0.662559911,0.818030305
9684,1600002K03Rik,263.4513975,-0.02522383,0.265173055,-0.095122146,0.924217808,0.966144064
9685,9430064I24Rik,263.3502476,0.759771294,0.234414006,3.241151448,0.001190479,0.005446596
9686,Gm7160,263.1857604,-0.095322205,0.139931804,-0.681204722,0.49574196,0.696291883
9687,Abcb1a,263.1636389,0.550862109,0.148282943,3.714939135,0.000203253,0.001116941
9688,Msantd2,262.7544252,-0.484194823,0.15718618,-3.080390558,0.002067293,0.008880114
9689,2310039H08Rik,262.520126,0.68638458,0.117753799,5.828980364,5.58E-09,6.11E-08
9690,Endog,262.4169966,0.187512276,0.200449679,0.935458102,0.349552266,0.56342535
9691,Ankrd9,262.2424928,0.161247726,0.301306965,0.535160965,0.592538556,0.771388919
9692,Gstt3,262.0764709,-0.48412115,0.133650178,-3.622300838,0.000291994,0.001551499
9693,Pde2a,262.0607613,2.009685783,0.580827794,3.460037218,0.000540101,0.002689566
9694,Clspn,261.9658018,-0.73630088,0.21684384,-3.395535145,0.000684946,0.003325608
9695,Tyw5,261.7543404,-0.270218363,0.229469887,-1.177576572,0.238965454,0.436105029
9696,Gm26718,261.7327748,0.530057675,0.142300249,3.724924431,0.000195374,0.001077301
9697,Zfp472,261.3125126,0.104101656,0.117610312,0.885140551,0.376080831,0.587048769
9698,Zfp141,261.222025,0.069252356,0.12870338,0.538077212,0.590523744,0.76995196
9699,Mpg,260.8538294,-0.236753742,0.165710151,-1.428722021,0.153084146,0.318259056
9700,4933439C10Rik,260.7627445,-0.080988012,0.179032498,-0.452364866,0.651006153,0.811449825
9701,Nup43,260.4862711,-0.257038438,0.11858942,-2.167465187,0.030199401,0.088645145
9702,Pigf,260.4630568,-0.026486771,0.14322231,-0.18493467,0.853280277,0.931592349
9703,Fam198b,260.4489663,-0.072364282,0.190359671,-0.380145028,0.703837763,0.845082238
9704,Zfp3,260.4248483,0.211586161,0.122478263,1.727540516,0.084070635,0.201499835
9705,Tnni3,260.1126021,-0.445343368,0.182957039,-2.434141757,0.014927148,0.049040212
9706,Ankrd66,259.9758859,-1.811850485,0.126568046,-14.31522838,1.76E-46,1.28E-44
9707,Slc17a9,259.9340222,0.952444865,0.140534544,6.777300697,1.22E-11,1.73E-10
9708,Polg2,259.9109071,-0.147594947,0.129082885,-1.143412219,0.252867482,0.453197131
9709,Gm14296,259.5469271,0.376357247,0.104625557,3.597182719,0.000321683,0.001689834
9710,Msrb2,259.5182057,-0.602656331,0.144434074,-4.172535712,3.01E-05,0.000193124
9711,Kcnab1,259.2703005,-0.049466424,0.134543948,-0.367659973,0.71312679,0.851299762
9712,Gm12404,259.2319329,0.226948353,0.123103489,1.843557446,0.065247662,0.165082195
9713,Gm6904,258.896354,-0.964985149,0.140365055,-6.8748247,6.21E-12,9.00E-11
9714,Ugt1a5,258.865397,3.820994264,1.157130857,3.302128052,NA,NA
9715,Rnf219,258.8215846,-0.120982164,0.167757067,-0.721174766,0.470801995,0.676695849
9716,Akap2,258.6543301,0.873662132,0.19339468,4.517508607,6.26E-06,4.55E-05
9717,Fignl1,258.5218228,-0.50205916,0.135855429,-3.695539916,0.00021942,0.00119631
9718,Gm20683,258.4657687,-0.283501138,0.656866297,-0.431596414,0.666034766,0.819923407
9719,Pkib,257.8732978,-0.238922471,0.151135605,-1.580848347,0.113912717,0.255080482
9720,Foxm1,257.8502606,-0.219941583,0.325704258,-0.675280034,0.499497866,0.6998374
9721,Tjp3,257.8480594,-0.132895213,0.145748683,-0.911810731,0.36186836,0.573875633
9722,Isoc2b,257.8425715,0.331425086,0.145825853,2.272745744,0.023041506,0.070577783
9723,BC005561,257.6934369,0.088702579,0.158130956,0.560943798,0.574835851,0.758817698
9724,Pparg,257.6081046,-0.96451524,0.145794576,-6.615576955,3.70E-11,5.01E-10
9725,Fam109a,257.0325157,0.428269724,0.792843165,0.540169535,0.58908012,0.768947078
9726,Slc1a4,256.97067,-0.475482349,0.154036007,-3.086825991,0.00202306,0.00871396
9727,Nudt1,256.8757965,0.328975238,0.225259318,1.460428989,0.14417221,0.304919908
9728,Zfp189,256.7938002,-0.006372695,0.131829947,-0.048340269,0.961445062,0.98168377
9729,Carmil1,256.3928231,-0.165045997,0.139668391,-1.181698996,0.237325157,0.434249173
9730,Wdr90,256.367681,0.993364405,0.172788455,5.749020707,8.98E-09,9.59E-08
9731,Fads3,256.1860669,0.043946668,0.134699124,0.326258013,0.744229152,0.869978234
9732,Phlda3,256.0424336,1.259159812,0.26577613,4.73767081,2.16E-06,1.69E-05
9733,Ccna2,255.7230715,-0.447408321,0.179908187,-2.486870273,0.012887238,0.043312715
9734,Rgs12,255.6380622,1.007932412,0.148198043,6.801253177,1.04E-11,1.47E-10
9735,Enkd1,255.5456008,0.661335897,0.133901035,4.938990167,7.85E-07,6.52E-06
9736,Fancc,255.5100119,0.024024407,0.130586532,0.183973081,0.854034573,0.931787454
9737,Rtn4r,255.3856246,1.524918127,0.152784428,9.980847824,1.85E-23,5.53E-22
9738,Myrf,255.1084449,-0.391411115,0.276644411,-1.414852786,0.157111664,0.324237881
9739,Gm5921,254.8605741,0.265541429,0.187795042,1.413995952,0.157363091,0.324618818
9740,Dgat2,254.8094939,0.418532123,0.162311641,2.578571195,0.009920985,0.03457572
9741,Bcl7a,254.7555129,2.03072979,0.153844633,13.19987411,8.79E-40,5.20E-38
9742,Slc9a5,254.7492512,0.246615798,0.198621098,1.241639482,0.214369608,0.405013032
9743,5530601H04Rik,254.6128547,-0.259616602,0.170846664,-1.519588365,0.128614464,0.279689307
9744,Rps3a2,254.5556907,0.396854994,0.232108604,1.709781482,0.087306289,0.207742768
9745,Agbl5,254.5174356,0.795255316,0.11828167,6.723402858,1.78E-11,2.47E-10
9746,Timm21,254.3759779,0.173947891,0.147390702,1.180182259,0.237927733,0.43494538
9747,Aurkb,254.36492,-0.655203559,0.12685384,-5.165027388,2.40E-07,2.14E-06
9748,Cd24a,254.3050256,1.576321156,0.24208646,6.511397437,7.45E-11,9.75E-10
9749,Rgs18,254.0134135,-1.538286104,0.167342604,-9.192435575,3.84E-20,9.70E-19
9750,E130307A14Rik,253.1602397,-0.382591699,0.167478847,-2.284418045,0.022346974,0.068906717
9751,E330009J07Rik,253.0962909,0.841586809,0.184957509,4.550162966,5.36E-06,3.94E-05
9752,Gm45713,252.985028,0.341998186,0.231991793,1.474182263,0.140432524,0.299193048
9753,Hmces,252.9454134,0.28654911,0.177094495,1.618057694,0.105650165,0.240774296
9754,Kitl,252.9097521,0.225065754,0.151811121,1.482537991,0.138197203,0.295786936
9755,Cd109,252.9036,0.934210389,0.144771034,6.453020097,1.10E-10,1.41E-09
9756,Khk,252.8477528,0.433846792,0.167154166,2.595488955,0.009445644,0.033205045
9757,Mypopos,252.5399812,-0.613462503,0.164520041,-3.728801059,0.000192393,0.001062372
9758,Arntl,252.3700859,-0.469453987,0.128006297,-3.667428854,0.000245002,0.001323527
9759,5031425E22Rik,252.3367334,0.092111032,0.16505384,0.558066581,0.57679892,0.760200551
9760,Syne2,252.2635202,0.603092126,0.120237187,5.015853584,5.28E-07,4.50E-06
9761,Thumpd2,252.1225237,0.221822071,0.119863196,1.850627037,0.064223227,0.162999793
9762,AC159892.1,252.030846,-0.157854838,0.226289186,-0.697580123,0.485439816,0.688285516
9763,Hnmt,251.9631289,-0.244727903,0.142552317,-1.716758511,0.086023304,0.205325792
9764,Tmem220,251.8232272,0.153825558,0.160877065,0.956168351,0.338987187,0.553282229
9765,Rnf170,251.8065919,0.251683788,0.144027761,1.747467196,0.08055633,0.194867399
9766,Terf1,251.7550978,-0.102180896,0.174474072,-0.585650892,0.558110141,0.745810525
9767,Gm5905,251.7541985,0.057382959,0.181086165,0.316882074,0.751333085,0.874623
9768,Ccdc85b,251.3837652,0.777569841,0.28637264,2.71523788,0.006622818,0.024594698
9769,Znhit3,251.2648612,0.062046441,0.168208467,0.368866333,0.712227359,0.850660727
9770,Erich1,251.1732073,-0.568416544,0.201719729,-2.817852997,0.004834594,0.018678763
9771,Fabp7,251.0433042,-2.61502993,0.159905813,-16.35356391,4.10E-60,4.19E-58
9772,Zfp959,250.8973636,-0.233059657,0.165647778,-1.406959152,0.159439502,0.328100822
9773,Dnajc24,250.8847988,0.020753419,0.149381515,0.13892896,0.889506286,0.951282416
9774,Gm21370,250.7727919,0.373029898,0.114975143,3.244439525,0.00117682,0.005389181
9775,Hacl1,250.6879739,1.140307951,0.174057426,6.551331818,5.70E-11,7.55E-10
9776,Cdpf1,250.6208546,0.481426627,0.250939957,1.918493304,0.05504849,0.144003767
9777,Fbxo32,250.2926369,0.747806325,0.133810194,5.588560193,2.29E-08,2.33E-07
9778,Gm15708,250.090367,-0.082561015,0.226920702,-0.363832011,0.715983457,0.852804056
9779,Maml3,250.0268647,0.409643802,0.162717764,2.517511245,0.01181872,0.040208485
9780,Zfp7,249.8461294,-0.116308642,0.127543514,-0.91191342,0.361814296,0.573875633
9781,Eya4,249.6254704,0.340009796,0.175802039,1.934049216,0.053107077,0.140037746
9782,Prr5l,249.584388,-0.595296929,0.132454977,-4.494334177,6.98E-06,5.03E-05
9783,Nusap1,249.3983368,-0.043939589,0.215191933,-0.204187903,0.838206664,0.92338679
9784,Gm9774,249.3809091,-0.30851248,0.24851075,-1.241445207,0.214441328,0.405109134
9785,Gm10033,249.3397929,0.074686743,0.141359309,0.52834683,0.597258634,0.774367365
9786,Slc25a35,249.2615842,0.152241567,0.13852972,1.098981267,0.271776237,0.476362463
9787,Chac2,249.1774282,0.265943098,0.124836863,2.130325055,0.033144786,0.09562533
9788,Tmem263,249.1689078,0.595014088,0.14277818,4.167402097,3.08E-05,0.000197263
9789,Nr1d1,248.9993959,-0.781788695,0.320292498,-2.440858591,0.014652391,0.048325526
9790,Itgb8,248.8413866,0.14862013,0.137143404,1.083684125,0.278504877,0.484918502
9791,Wdr89,248.819076,0.626529958,0.202295743,3.097099079,0.001954245,0.008458817
9792,Gm43909,248.785591,2.342778306,0.186070388,12.59081751,2.37E-36,1.23E-34
9793,Tle1,248.7148563,0.725544798,0.122567479,5.919553914,3.23E-09,3.62E-08
9794,Fdxr,248.6488972,0.214524296,0.148759591,1.44208716,0.149277787,0.312452353
9795,Rpgrip1l,248.3092586,-0.399407378,0.136342304,-2.929445719,0.003395671,0.013705445
9796,Zfp58,247.8817804,-0.059960119,0.194939929,-0.30758254,0.758400007,0.879195473
9797,Gm10566,247.799095,0.11507323,0.213480716,0.539033371,0.589863828,0.76934972
9798,Kifc1,247.7109114,-0.040245236,0.165787879,-0.242751376,0.808198005,0.906639076
9799,Slc2a3,247.6827729,-0.137809839,0.143271311,-0.961880213,0.336109779,0.549925761
9800,Gm14305,247.6063825,0.37705987,0.164901355,2.286578355,0.022220446,0.068538327
9801,Rfesd,247.3132144,0.092740165,0.117603693,0.788582084,0.430356306,0.640795235
9802,Rnf8,247.2506149,0.421587803,0.176133992,2.393562981,0.016685616,0.053887745
9803,Zscan12,247.2146841,0.192079614,0.138957929,1.3822861,0.166883872,0.33879048
9804,Dync2h1,247.1507227,0.017482002,0.124848557,0.14002566,0.888639716,0.951113781
9805,Pla2r1,246.9538575,-1.021417394,0.154786181,-6.598892657,4.14E-11,5.57E-10
9806,Taf1a,246.9386888,0.232088437,0.180399217,1.28652685,0.198259254,0.383489423
9807,Smyd4,246.9050335,0.480904495,0.130006011,3.6990943,0.00021637,0.001181672
9808,Lpin1,246.8121339,0.202061159,0.113631838,1.778209013,0.075369533,0.185075029
9809,Ank1,246.784131,-0.503869777,0.168721922,-2.986391875,0.002822906,0.011685016
9810,Ppfia4,246.6898702,-0.118453358,0.165268224,-0.716734013,0.473538235,0.67858612
9811,Kif20b,246.6224186,-0.230804518,0.238537015,-0.967583661,0.333252341,0.546447199
9812,Zfp810,246.4807018,0.271655668,0.184055802,1.475941892,0.139959492,0.298479865
9813,Lmnb1,246.2624235,-0.670560212,0.160578159,-4.175911692,2.97E-05,0.000190975
9814,Ptprv,245.9738968,-0.231264226,0.166648886,-1.387733403,0.165218241,0.336428673
9815,Gm4366,245.9606458,0.221103978,0.163586692,1.351601255,0.176502909,0.353224014
9816,Mks1,245.9495355,0.653207008,0.119485969,5.466809305,4.58E-08,4.51E-07
9817,Col6a2,245.7373313,-1.41414835,0.128501826,-11.00488911,3.62E-28,1.37E-26
9818,Pyurf,245.7055719,0.601817649,0.198616669,3.030046035,0.002445165,0.010288016
9819,Prkce,245.3346614,0.239840373,0.105650408,2.270132018,0.023199574,0.07097243
9820,mt-Tl1,245.2039685,-0.329920931,0.365920127,-0.901620071,0.367258726,0.578542917
9821,Zfp688,245.1762607,-0.013251315,0.123493296,-0.107303922,0.914547873,0.96269378
9822,Zwilch,245.1450323,-0.132741426,0.175082943,-0.758163095,0.448353351,0.657187973
9823,Glis3,244.8479616,-0.39924218,0.187317931,-2.131361252,0.033059392,0.095411047
9824,Cep41,244.7530829,-0.129044635,0.141053768,-0.914861311,0.360264443,0.572471601
9825,Zbtb25,244.4900616,0.52667392,0.226360185,2.326707412,0.019980843,0.062756323
9826,Trmo,244.4373774,-0.133681125,0.12514666,-1.068195703,0.285432243,0.493003178
9827,Trmt11,244.4191002,0.031411573,0.12007023,0.26161,0.793622134,0.899128843
9828,Rpl5-ps1,244.3131791,0.310958896,0.153770573,2.022226293,0.043152979,0.118519691
9829,Ctsf,244.2174523,0.260502529,0.181254235,1.437221749,0.150654995,0.31448785
9830,Dnah17,244.1861786,-0.166454862,0.169373446,-0.982768352,0.325721461,0.537830331
9831,Gins3,244.0973883,0.102642519,0.179715994,0.571137362,0.567906534,0.752739651
9832,Tmem86b,243.6236659,-0.388504121,0.143750051,-2.702636411,0.006879195,0.025386634
9833,Tfb1m,243.5233401,0.217880331,0.138258932,1.575886113,0.115052052,0.257146466
9834,Rnd2,243.4862321,-0.189064117,0.129441207,-1.460617687,0.14412039,0.304843498
9835,Ttc8,243.4706438,-0.148371856,0.124757039,-1.189286443,0.234326968,0.430493255
9836,Zfp608,243.4565315,-0.0376554,0.145101812,-0.259510195,0.795241617,0.900044491
9837,Fgfr1,243.3917833,0.665924073,0.180235657,3.694740998,0.000220111,0.001199741
9838,Gm28035,243.2125626,0.413556807,0.390233439,1.059767734,0.289250279,0.497298516
9839,Afp,243.1771565,-0.01504256,0.125596155,-0.11976927,0.904665925,0.958356332
9840,Pdss2,243.1636826,0.062906986,0.121855111,0.51624413,0.605683912,0.7811722
9841,Kntc1,243.0867944,-0.161396169,0.142445559,-1.133037566,0.257198478,0.458505794
9842,Slc5a3,242.6799453,-0.154010758,0.194787528,-0.790660259,0.429142272,0.63964688
9843,AC125190.3,242.6352113,0.013153149,0.20720154,0.063479978,0.949384302,0.977461281
9844,Pfdn4,242.5786816,-0.402817878,0.190635159,-2.113030361,0.034598169,0.098955247
9845,Mblac1,242.2858397,0.310430926,0.180079702,1.723852951,0.084734393,0.20294049
9846,Adcy3,242.2062105,-0.982104987,0.127382608,-7.70988286,1.26E-14,2.28E-13
9847,Zfp870,242.1444733,0.282631584,0.107103677,2.638859756,0.008318539,0.029831259
9848,Plxdc2,242.0772113,-1.746948156,0.145817004,-11.98041456,4.50E-33,2.07E-31
9849,Esr1,241.960834,0.283466129,0.198596179,1.42734936,0.15347922,0.318705219
9850,Cela1,241.8143191,-1.280147383,0.16954478,-7.550497162,4.34E-14,7.49E-13
9851,Zfp995,241.7330059,-0.015397224,0.147108377,-0.104665853,0.916640958,0.963179041
9852,Rida,241.5666479,0.685849197,0.13063411,5.250153993,1.52E-07,1.39E-06
9853,Gm6139,241.4802278,0.017680845,0.165111522,0.10708426,0.914722134,0.96269378
9854,Tmeff1,241.2173364,0.991927216,0.205356203,4.830276365,1.36E-06,1.09E-05
9855,Zfp97,240.9779077,-0.202589533,0.212765568,-0.952172548,0.341009481,0.555230088
9856,Gm26642,240.922431,-0.947082867,0.189268654,-5.00390767,5.62E-07,4.77E-06
9857,Lmln,240.6115447,0.046930892,0.119532655,0.392619842,0.694600282,0.83934468
9858,Brip1,240.3772079,-0.66753596,0.159627759,-4.181828795,2.89E-05,0.000186814
9859,Majin,240.2896088,1.064138796,0.144806945,7.348672396,2.00E-13,3.26E-12
9860,Slf1,240.0664705,-0.16271342,0.157107367,-1.035682943,0.300350083,0.509616622
9861,Tdrkh,239.9325939,0.235238808,0.146921161,1.601122717,0.109349742,0.247118204
9862,Zfp558,239.846276,-0.225862329,0.158387037,-1.426015242,0.153863943,0.319299322
9863,Gmds,239.8365172,0.161045214,0.151173183,1.065302793,0.286738929,0.494784831
9864,Klhl15,239.4291449,0.168261461,0.141526316,1.188905818,0.234476731,0.430605499
9865,Zbtb11os1,239.3187182,0.338822211,0.149203566,2.270872074,0.023154723,0.07087987
9866,Plppr2,239.309229,0.031569284,0.261695924,0.120633456,0.903981369,0.957974752
9867,2310009A05Rik,239.1817011,-0.094928116,0.155033156,-0.612308479,0.540333681,0.731719908
9868,Smim8,239.129014,-0.010374422,0.163321444,-0.06352149,0.949351247,0.977461281
9869,Rab6b,239.0714799,0.544281976,0.131710296,4.132417828,3.59E-05,0.00022744
9870,Tcp10b,238.8159041,0.590747156,0.139641223,4.230463917,2.33E-05,0.000152845
9871,Cenpl,238.7686026,0.021036461,0.160907324,0.130736504,0.895983754,0.954415589
9872,Pdss1,238.1155387,-0.57598886,0.145371089,-3.962196783,7.43E-05,0.000443616
9873,Bora,237.9280547,0.284275855,0.170924187,1.663169263,0.096278558,0.223984416
9874,Mmaa,237.8513452,0.103181297,0.136951151,0.75341679,0.451199497,0.659816427
9875,Gm37893,237.8329075,-0.568675078,0.148249544,-3.835931384,0.000125089,0.000718718
9876,Aurka,237.6316283,-0.733593365,0.197002681,-3.723773508,0.000196267,0.001081919
9877,Prim1,237.5164577,0.142347248,0.148936722,0.955756554,0.339195243,0.553528796
9878,Gm11263,237.4020284,0.311922911,0.18228905,1.711144536,0.087054434,0.207295838
9879,Rnf225,237.3163727,3.43422109,0.192222396,17.86587389,2.17E-71,3.01E-69
9880,Gm17586,237.2792844,0.006854076,0.190903296,0.035903392,0.971359391,0.987060079
9881,AW146154,237.0468866,0.138107409,0.174806532,0.790058629,0.429493529,0.639924935
9882,Arhgef18,236.8425792,0.093803471,0.116720994,0.803655519,0.42159595,0.632621885
9883,Zfp976,236.7058455,0.449863268,0.15226502,2.954475482,0.00313201,0.01278471
9884,Eno3,236.5406789,0.737724027,0.181398394,4.066871882,4.76E-05,0.000295536
9885,Slc25a14,236.5006731,0.033495474,0.182904682,0.183130764,0.854695418,0.931937786
9886,Rps2-ps6,235.6119101,0.225267463,0.137309797,1.640578226,0.100884998,0.232297115
9887,Cnrip1,235.531728,-1.22804162,0.185693447,-6.613273853,3.76E-11,5.08E-10
9888,Kif11,235.485284,-0.39412807,0.137131737,-2.87408356,0.004052017,0.016002133
9889,Prdm9,235.2401035,0.344391504,0.124837725,2.758713393,0.00580294,0.021940039
9890,Ndufaf2,235.0559785,0.413431475,0.164614695,2.511510137,0.012021583,0.040763009
9891,Fam35a,234.7798134,0.337186719,0.125933554,2.677497051,0.007417451,0.027059417
9892,Zxda,234.512701,-0.230829149,0.416852038,-0.553743602,0.579754331,0.762254324
9893,2700097O09Rik,234.3746322,0.037937847,0.124289881,0.305236811,0.760185798,0.879900454
9894,Gm10175,234.1820183,0.472586079,0.229665345,2.057716101,0.039617394,0.110687113
9895,B230118H07Rik,234.1588446,0.798841681,0.221497782,3.606544832,0.000310301,0.00163802
9896,Tmem81,233.9586002,0.282621373,0.186573608,1.514798239,0.129823506,0.281571155
9897,Zkscan14,233.8789513,0.031796888,0.153708025,0.206865504,0.836114897,0.921832161
9898,Tmem29,233.3752261,-0.324641588,0.187235771,-1.733865205,0.082942003,0.199385144
9899,Gm3650,232.9157414,-0.133169805,0.211837239,-0.628642092,0.529583397,0.723415166
9900,Suox,232.8303354,0.853684928,0.133707847,6.384703281,1.72E-10,2.17E-09
9901,Paqr4,232.7403125,-0.712274277,0.166487876,-4.278235124,1.88E-05,0.000125626
9902,Ift43,232.7146836,0.112122884,0.150300775,0.74599006,0.45567342,0.664360918
9903,Afmid,232.532774,0.174924028,0.410382835,0.426245967,0.669928626,0.822544904
9904,Srgap3,232.3370891,0.427650037,0.192894193,2.217018717,0.026621813,0.07977099
9905,Ugt1a9,232.0247738,4.294900985,1.271758384,3.377135972,NA,NA
9906,Shpk,231.8012473,0.427519906,0.139384679,3.067194398,0.002160783,0.009225355
9907,Chtf18,231.6803613,-0.310567846,0.140081292,-2.217054412,0.026619374,0.07977099
9908,Mblac2,231.5752549,0.630004344,0.143671878,4.385021987,1.16E-05,8.03E-05
9909,Aplf,231.5576231,0.491095004,0.108358135,4.532147076,5.84E-06,4.27E-05
9910,Mgmt,231.2906564,0.309959177,0.142018366,2.182528813,0.029070527,0.08583737
9911,BC002059,231.2196455,-0.382118924,0.158211728,-2.415237666,0.015724945,0.051279635
9912,Tmem218,231.1349358,0.253647278,0.144469384,1.755716474,0.079136832,0.192260143
9913,mt-Tn,231.0862903,0.251606753,0.1195871,2.103962334,0.035381733,0.100780871
9914,Nubpl,230.9246587,0.674334266,0.147064321,4.585301597,4.53E-06,3.37E-05
